away_team,home_team,Delta (ERA),Delta (RBI),Delta (SLG),Delta (AVG),home_team_win
Philadelphia Phillies,Atlanta Braves,-0.12,41,0,0.015,0
Boston Red Sox,Los Angeles Angels of Anaheim,0.28,-150,-0.056,-0.022,1
Miami Marlins,Chicago Cubs,-0.9,141,0.035,-0.007,1
Toronto Blue Jays,Kansas City Royals,0.43,-88,-0.026,0.013,1
Texas Rangers,Houston Astros,-0.31,-57,-0.016,-0.015,0
New York Mets,Detroit Tigers,0.67,70,0.021,0.021,1
Miami Marlins,Colorado Rockies,0.86,179,0.063,0.012,1
Baltimore Orioles,Chicago White Sox,-0.12,-54,-0.033,0.001,1
Milwaukee Brewers,Arizona Diamondbacks,1.01,68,0.025,0.017,0
San Francisco Giants,Washington Nationals,-0.14,60,0.028,-0.002,1
Minnesota Twins,Tampa Bay Rays,-0.88,-43,0.005,-0.008,0
Atlanta Braves,St. Louis Cardinals,-0.43,130,0.058,0,1
Los Angeles Angels of Anaheim,Seattle Mariners,-0.28,49,0.025,-0.001,1
Philadelphia Phillies,San Diego Padres,-0.2,80,0.006,-0.005,0
Cincinnati Reds,Pittsburgh Pirates,-0.7,18,-0.006,0.001,1
New York Yankees,Boston Red Sox,-0.16,189,0.056,0.03,1
Houston Astros,Toronto Blue Jays,-0.28,39,0.009,0.001,0
Detroit Tigers,Texas Rangers,0.13,27,-0.005,-0.005,1
Baltimore Orioles,San Francisco Giants,-0.57,-35,-0.045,0.002,0
Colorado Rockies,Philadelphia Phillies,-0.28,-231,-0.073,-0.035,1
Seattle Mariners,Oakland Athletics,0.51,-101,-0.035,-0.013,1
San Diego Padres,New York Mets,-0.86,-5,0.027,0.011,0
Tampa Bay Rays,New York Yankees,-0.04,0,-0.021,0.009,1
Kansas City Royals,Minnesota Twins,0.87,50,0.021,-0.01,0
Cincinnati Reds,Milwaukee Brewers,-0.83,-37,-0.001,-0.012,0
Chicago White Sox,Miami Marlins,-0.05,-30,-0.016,0.006,0
Pittsburgh Pirates,Los Angeles Dodgers,-0.51,-16,0.007,-0.008,0
Los Angeles Angels of Anaheim,Cleveland Indians,-0.44,47,0.025,0.002,1
Seattle Mariners,Los Angeles Angels of Anaheim,0.28,-49,-0.025,0.001,0
Toronto Blue Jays,Cleveland Indians,0.06,5,0.004,0.014,1
Los Angeles Dodgers,Cincinnati Reds,1.21,-2,-0.001,0.007,1
Oakland Athletics,Chicago White Sox,-0.41,22,0.015,0.011,0
Houston Astros,Baltimore Orioles,0.16,21,0.026,0.009,0
Washington Nationals,Atlanta Braves,1,-120,-0.042,-0.001,0
New York Yankees,Los Angeles Angels of Anaheim,0.12,39,0,0.008,0
New York Mets,San Francisco Giants,0.08,26,-0.019,0.012,1
Arizona Diamondbacks,San Diego Padres,-0.66,-55,-0.042,-0.026,1
Los Angeles Dodgers,Philadelphia Phillies,0.93,-106,-0.025,-0.009,1
Minnesota Twins,Kansas City Royals,-0.87,-50,-0.021,0.01,1
Boston Red Sox,Detroit Tigers,0.24,-117,-0.023,-0.015,1
Chicago White Sox,Cleveland Indians,-0.26,77,0.02,0.005,1
Minnesota Twins,Kansas City Royals,-0.87,-50,-0.021,0.01,1
Pittsburgh Pirates,Milwaukee Brewers,-0.13,-55,0.005,-0.013,0
San Diego Padres,Miami Marlins,-0.38,-28,0.004,0.028,1
Chicago Cubs,Los Angeles Dodgers,0.55,-87,-0.02,-0.007,0
Tampa Bay Rays,Houston Astros,-0.14,42,-0.009,0.004,1
Los Angeles Angels of Anaheim,Detroit Tigers,-0.04,33,0.033,0.007,1
Seattle Mariners,Chicago White Sox,0.1,-79,-0.02,-0.002,0
Kansas City Royals,Boston Red Sox,-0.21,196,0.061,0.021,0
Cincinnati Reds,Arizona Diamondbacks,0.18,31,0.024,0.005,1
Baltimore Orioles,Washington Nationals,-0.71,25,-0.017,0,1
Los Angeles Angels of Anaheim,Toronto Blue Jays,-0.5,42,0.021,-0.012,0
Cleveland Indians,Texas Rangers,0.53,13,0.003,0,1
Boston Red Sox,Tampa Bay Rays,0.2,-189,-0.035,-0.039,1
Baltimore Orioles,New York Yankees,-0.06,-63,-0.038,-0.004,0
Toronto Blue Jays,Tampa Bay Rays,0.42,-81,0,-0.005,1
Los Angeles Angels of Anaheim,Seattle Mariners,-0.28,49,0.025,-0.001,1
Milwaukee Brewers,Pittsburgh Pirates,0.13,55,-0.005,0.013,0
Atlanta Braves,Philadelphia Phillies,0.12,-41,0,-0.015,0
Boston Red Sox,Oakland Athletics,0.51,-202,-0.066,-0.036,0
Washington Nationals,New York Mets,0.06,-86,-0.009,-0.01,0
Chicago White Sox,Minnesota Twins,0.98,34,0.011,-0.006,0
San Diego Padres,Los Angeles Dodgers,-0.73,26,0.019,0.014,0
Detroit Tigers,Kansas City Royals,-0.03,-79,-0.038,-0.006,0
Arizona Diamondbacks,Colorado Rockies,-0.18,96,0.025,0.014,1
Miami Marlins,Cleveland Indians,-0.21,107,0.036,-0.001,1
St. Louis Cardinals,Cincinnati Reds,0.83,-67,-0.034,0.001,1
Houston Astros,Cleveland Indians,-0.22,44,0.013,0.015,0
New York Mets,Atlanta Braves,0.94,-34,-0.033,0.009,1
San Francisco Giants,Arizona Diamondbacks,1.44,34,0.034,0.003,0
Texas Rangers,Los Angeles Angels of Anaheim,-0.09,-60,-0.028,-0.002,0
Philadelphia Phillies,Washington Nationals,-1.12,161,0.042,0.016,1
Boston Red Sox,Toronto Blue Jays,-0.22,-108,-0.035,-0.034,0
Milwaukee Brewers,St. Louis Cardinals,0,104,0.035,0.011,1
Colorado Rockies,San Diego Padres,-0.48,-151,-0.067,-0.04,0
Cincinnati Reds,Pittsburgh Pirates,-0.7,18,-0.006,0.001,0
Seattle Mariners,Oakland Athletics,0.51,-101,-0.035,-0.013,0
Tampa Bay Rays,New York Yankees,-0.04,0,-0.021,0.009,1
Cleveland Indians,Minnesota Twins,1.24,-43,-0.009,-0.011,0
Los Angeles Dodgers,Miami Marlins,0.35,-54,-0.015,0.014,1
Seattle Mariners,Los Angeles Angels of Anaheim,0.28,-49,-0.025,0.001,0
Houston Astros,Seattle Mariners,-0.06,46,0.013,0.012,0
Miami Marlins,Philadelphia Phillies,0.58,-52,-0.01,-0.023,1
Minnesota Twins,New York Mets,-1.51,-41,-0.004,-0.005,1
Chicago White Sox,Kansas City Royals,0.11,-16,-0.01,0.004,0
San Diego Padres,Colorado Rockies,0.48,151,0.067,0.04,1
Detroit Tigers,Cleveland Indians,-0.4,14,-0.008,-0.005,1
Pittsburgh Pirates,Cincinnati Reds,0.7,-18,0.006,-0.001,0
Milwaukee Brewers,Chicago Cubs,-0.93,126,0.022,0.012,1
New York Yankees,Boston Red Sox,-0.16,189,0.056,0.03,1
Tampa Bay Rays,Baltimore Orioles,0.02,63,0.017,0.013,1
Washington Nationals,Atlanta Braves,1,-120,-0.042,-0.001,0
Oakland Athletics,Texas Rangers,-0.14,112,0.038,0.016,0
New York Yankees,Toronto Blue Jays,-0.38,81,0.021,-0.004,1
Boston Red Sox,Tampa Bay Rays,0.2,-189,-0.035,-0.039,0
San Francisco Giants,San Diego Padres,0.78,-21,-0.008,-0.023,1
Washington Nationals,Pittsburgh Pirates,0.7,-39,-0.024,0.001,1
Texas Rangers,Oakland Athletics,0.14,-112,-0.038,-0.016,0
Philadelphia Phillies,New York Mets,-1.06,75,0.033,0.006,1
Seattle Mariners,Minnesota Twins,1.08,-45,-0.009,-0.008,0
Cincinnati Reds,Milwaukee Brewers,-0.83,-37,-0.001,-0.012,1
Atlanta Braves,Miami Marlins,-0.46,11,0.01,0.008,0
Colorado Rockies,Los Angeles Dodgers,-1.21,-125,-0.048,-0.026,1
Los Angeles Angels of Anaheim,Houston Astros,-0.22,3,0.012,-0.013,0
Kansas City Royals,Detroit Tigers,0.03,79,0.038,0.006,1
Oakland Athletics,Los Angeles Angels of Anaheim,-0.23,52,0.01,0.014,1
Los Angeles Dodgers,San Francisco Giants,-0.05,-5,-0.011,0.009,1
Oakland Athletics,Seattle Mariners,-0.51,101,0.035,0.013,1
New York Mets,Philadelphia Phillies,1.06,-75,-0.033,-0.006,0
Baltimore Orioles,New York Yankees,-0.06,-63,-0.038,-0.004,0
Cleveland Indians,Kansas City Royals,0.37,-93,-0.03,-0.001,0
Milwaukee Brewers,Colorado Rockies,0.83,164,0.05,0.031,1
Chicago Cubs,Cincinnati Reds,1.76,-89,-0.021,0,0
Minnesota Twins,Chicago White Sox,-0.98,-34,-0.011,0.006,1
Toronto Blue Jays,Boston Red Sox,0.22,108,0.035,0.034,1
Detroit Tigers,Atlanta Braves,0.27,-104,-0.054,-0.012,0
San Diego Padres,Arizona Diamondbacks,0.66,55,0.042,0.026,1
Houston Astros,Los Angeles Angels of Anaheim,0.22,-3,-0.012,0.013,1
Miami Marlins,Washington Nationals,-0.54,109,0.032,-0.007,1
Chicago Cubs,Cleveland Indians,0.69,-34,0.001,0.006,0
Chicago Cubs,Cleveland Indians,0.69,-34,0.001,0.006,0
Cleveland Indians,Chicago Cubs,-0.69,34,-0.001,-0.006,1
Cleveland Indians,Chicago Cubs,-0.69,34,-0.001,-0.006,0
Cleveland Indians,Chicago Cubs,-0.69,34,-0.001,-0.006,0
Chicago Cubs,Cleveland Indians,0.69,-34,0.001,0.006,0
Chicago Cubs,Cleveland Indians,0.69,-34,0.001,0.006,1
Los Angeles Dodgers,Chicago Cubs,-0.55,87,0.02,0.007,1
Chicago Cubs,Los Angeles Dodgers,0.55,-87,-0.02,-0.007,0
Cleveland Indians,Toronto Blue Jays,-0.06,-5,-0.004,-0.014,0
Chicago Cubs,Los Angeles Dodgers,0.55,-87,-0.02,-0.007,0
Cleveland Indians,Toronto Blue Jays,-0.06,-5,-0.004,-0.014,1
Chicago Cubs,Los Angeles Dodgers,0.55,-87,-0.02,-0.007,1
Cleveland Indians,Toronto Blue Jays,-0.06,-5,-0.004,-0.014,0
Los Angeles Dodgers,Chicago Cubs,-0.55,87,0.02,0.007,0
Toronto Blue Jays,Cleveland Indians,0.06,5,0.004,0.014,1
Los Angeles Dodgers,Chicago Cubs,-0.55,87,0.02,0.007,1
Toronto Blue Jays,Cleveland Indians,0.06,5,0.004,0.014,1
Los Angeles Dodgers,Washington Nationals,-0.19,55,0.017,0.007,0
Chicago Cubs,San Francisco Giants,0.5,-92,-0.031,0.002,0
Washington Nationals,Los Angeles Dodgers,0.19,-55,-0.017,-0.007,1
Chicago Cubs,San Francisco Giants,0.5,-92,-0.031,0.002,1
Washington Nationals,Los Angeles Dodgers,0.19,-55,-0.017,-0.007,0
Cleveland Indians,Boston Red Sox,0.16,103,0.031,0.02,0
